CPROM	PRICE	PROM	SHARE	promdiff	relprom	x
7.396000e-01	-4.634000e-01	-1.098000e-01	4.241000e+01	-8.494000e-01	-1.484586e-01	
7.576000e-01	-6.069000e-01	-2.690000e-01	4.237000e+01	-1.026600e+00	-3.550686e-01	
7.685000e-01	-7.236000e-01	-4.251000e-01	4.270000e+01	-1.193600e+00	-5.531555e-01	
7.811000e-01	-8.301000e-01	-4.869000e-01	4.279000e+01	-1.268000e+00	-6.233517e-01	
8.331000e-01	-9.374000e-01	-5.960000e-01	4.230000e+01	-1.429100e+00	-7.154003e-01	
8.411000e-01	-9.612000e-01	-4.562000e-01	4.254000e+01	-1.297300e+00	-5.423850e-01	
8.057000e-01	-9.379000e-01	-1.607000e-01	4.265000e+01	-9.664000e-01	-1.994539e-01	
8.254000e-01	-8.833000e-01	1.171000e-01	4.213000e+01	-7.083000e-01	1.418706e-01	
8.494000e-01	-7.480000e-01	5.365000e-01	4.211000e+01	-3.129000e-01	6.316223e-01	
8.589000e-01	-5.740000e-01	9.342000e-01	4.144000e+01	7.530000e-02	1.087670e+00	
8.161000e-01	-3.505000e-01	1.297000e+00	4.142000e+01	4.809000e-01	1.589266e+00	
6.698000e-01	-1.062000e-01	1.588000e+00	4.184000e+01	9.182000e-01	2.370857e+00	
5.751000e-01	1.099000e-01	1.790000e+00	4.127000e+01	1.214900e+00	3.112502e+00	
5.290000e-01	3.373000e-01	1.917000e+00	4.134000e+01	1.388000e+00	3.623819e+00	
4.533000e-01	5.620000e-01	1.992000e+00	4.120000e+01	1.538700e+00	4.394441e+00	
3.849000e-01	7.444000e-01	1.953000e+00	4.105000e+01	1.568100e+00	5.074045e+00	
3.258000e-01	9.449000e-01	1.822000e+00	4.079000e+01	1.496200e+00	5.592388e+00	
2.748000e-01	1.153000e+00	1.566000e+00	4.027000e+01	1.291200e+00	5.698690e+00	
1.480000e-01	1.383000e+00	1.287000e+00	3.981000e+01	1.139000e+00	8.695946e+00	
3.232000e-02	1.560000e+00	9.042000e-01	4.017000e+01	8.718800e-01	2.797649e+01	
-1.446000e-01	1.689000e+00	5.173000e-01	3.964000e+01	6.619000e-01	-3.577455e+00	
-3.017000e-01	1.770000e+00	2.732000e-01	3.979000e+01	5.749000e-01	-9.055353e-01	
-4.600000e-01	1.881000e+00	-2.944000e-02	3.951000e+01	4.305600e-01	6.400000e-02	
-6.090000e-01	1.907000e+00	-1.199000e-01	3.978000e+01	4.891000e-01	1.968801e-01	
-7.380000e-01	2.008000e+00	6.426000e-02	3.978000e+01	8.022600e-01	-8.707317e-02	
-8.167000e-01	2.036000e+00	2.806000e-01	3.979000e+01	1.097300e+00	-3.435778e-01	
-8.490000e-01	2.133000e+00	5.214000e-01	3.973000e+01	1.370400e+00	-6.141343e-01	
-8.460000e-01	2.212000e+00	7.500000e-01	3.943000e+01	1.596000e+00	-8.865248e-01	
-8.370000e-01	2.289000e+00	8.261000e-01	3.937000e+01	1.663100e+00	-9.869773e-01	
-8.464000e-01	2.292000e+00	8.643000e-01	3.943000e+01	1.710700e+00	-1.021148e+00	
-8.616000e-01	2.260000e+00	9.232000e-01	3.967000e+01	1.784800e+00	-1.071495e+00	
-8.504000e-01	2.107000e+00	8.019000e-01	3.967000e+01	1.652300e+00	-9.429680e-01	
-8.066000e-01	1.945000e+00	6.040000e-01	3.976000e+01	1.410600e+00	-7.488222e-01	
-7.489000e-01	1.818000e+00	3.959000e-01	3.919000e+01	1.144800e+00	-5.286420e-01	
-7.677000e-01	1.644000e+00	1.606000e-01	4.010000e+01	9.283000e-01	-2.091963e-01	
-8.532000e-01	1.479000e+00	-1.340000e-01	4.013000e+01	7.192000e-01	1.570558e-01	
-9.226000e-01	1.322000e+00	-3.674000e-01	4.021000e+01	5.552000e-01	3.982224e-01	
-1.003000e+00	1.215000e+00	-6.505000e-01	4.032000e+01	3.525000e-01	6.485543e-01	
-1.100000e+00	1.105000e+00	-8.405000e-01	4.068000e+01	2.595000e-01	7.640909e-01	
-1.183000e+00	1.024000e+00	-9.760000e-01	4.077000e+01	2.070000e-01	8.250211e-01	
-1.220000e+00	8.928000e-01	-1.044000e+00	4.134000e+01	1.760000e-01	8.557377e-01	
-1.158000e+00	8.021000e-01	-1.154000e+00	4.088000e+01	4.000000e-03	9.965458e-01	
-1.008000e+00	7.168000e-01	-1.174000e+00	4.101000e+01	-1.660000e-01	1.164683e+00	
-8.183000e-01	7.054000e-01	-1.192000e+00	4.112000e+01	-3.737000e-01	1.456678e+00	
-5.612000e-01	6.475000e-01	-1.216000e+00	4.069000e+01	-6.548000e-01	2.166785e+00	
-2.630000e-01	6.363000e-01	-1.201000e+00	4.062000e+01	-9.380000e-01	4.566540e+00	
3.073000e-02	5.982000e-01	-1.171000e+00	4.064000e+01	-1.201730e+00	-3.810609e+01	
3.259000e-01	6.086000e-01	-1.153000e+00	4.035000e+01	-1.478900e+00	-3.537895e+00	
6.060000e-01	5.853000e-01	-1.153000e+00	4.028000e+01	-1.759000e+00	-1.902640e+00	
8.455000e-01	5.338000e-01	-1.154000e+00	4.008000e+01	-1.999500e+00	-1.364873e+00	
1.018000e+00	4.695000e-01	-1.204000e+00	3.993000e+01	-2.222000e+00	-1.182711e+00	
1.079000e+00	4.116000e-01	-1.201000e+00	4.002000e+01	-2.280000e+00	-1.113068e+00	
1.013000e+00	3.116000e-01	-1.196000e+00	4.022000e+01	-2.209000e+00	-1.180652e+00	
8.270000e-01	1.671000e-01	-1.211000e+00	4.053000e+01	-2.038000e+00	-1.464329e+00	
5.388000e-01	-3.004000e-02	-1.258000e+00	4.136000e+01	-1.796800e+00	-2.334818e+00	
2.153000e-01	-2.230000e-01	-1.271000e+00	4.165000e+01	-1.486300e+00	-5.903391e+00	
-8.566000e-02	-3.647000e-01	-1.200000e+00	4.206000e+01	-1.114340e+00	1.400887e+01	
-3.463000e-01	-5.157000e-01	-1.048000e+00	4.239000e+01	-7.017000e-01	3.026278e+00	
-5.429000e-01	-6.742000e-01	-8.303000e-01	4.294000e+01	-2.874000e-01	1.529379e+00	
-6.406000e-01	-7.945000e-01	-4.674000e-01	4.288000e+01	1.732000e-01	7.296285e-01	
-6.462000e-01	-8.657000e-01	-1.080000e-01	4.306000e+01	5.382000e-01	1.671309e-01	
-5.968000e-01	-9.095000e-01	3.412000e-01	4.279000e+01	9.380000e-01	-5.717158e-01	
-5.411000e-01	-8.714000e-01	7.458000e-01	4.297000e+01	1.286900e+00	-1.378303e+00	
-5.139000e-01	-7.866000e-01	1.047000e+00	4.271000e+01	1.560900e+00	-2.037361e+00	
-5.279000e-01	-6.809000e-01	1.342000e+00	4.282000e+01	1.869900e+00	-2.542148e+00	
-5.911000e-01	-5.306000e-01	1.618000e+00	4.250000e+01	2.209100e+00	-2.737269e+00	
-7.087000e-01	-4.900000e-01	1.652000e+00	4.303000e+01	2.360700e+00	-2.331029e+00	
-8.407000e-01	-5.080000e-01	1.613000e+00	4.295000e+01	2.453700e+00	-1.918639e+00	
-9.349000e-01	-5.476000e-01	1.325000e+00	4.285000e+01	2.259900e+00	-1.417264e+00	
-1.010000e+00	-6.680000e-01	1.079000e+00	4.302000e+01	2.089000e+00	-1.068317e+00	
-1.065000e+00	-8.562000e-01	7.688000e-01	4.323000e+01	1.833800e+00	-7.218779e-01	
-1.085000e+00	-1.055000e+00	3.990000e-01	4.313000e+01	1.484000e+00	-3.677419e-01	
-1.093000e+00	-1.230000e+00	-2.494000e-02	4.317000e+01	1.068060e+00	2.281793e-02	
-1.132000e+00	-1.452000e+00	-3.670000e-01	4.325000e+01	7.650000e-01	3.242049e-01	
-1.224000e+00	-1.588000e+00	-6.647000e-01	4.361000e+01	5.593000e-01	5.430556e-01	
-1.348000e+00	-1.662000e+00	-7.769000e-01	4.382000e+01	5.711000e-01	5.763353e-01	
-1.459000e+00	-1.655000e+00	-9.572000e-01	4.378000e+01	5.018000e-01	6.560658e-01	
-1.539000e+00	-1.610000e+00	-9.939000e-01	4.397000e+01	5.451000e-01	6.458090e-01	
-1.555000e+00	-1.558000e+00	-1.049000e+00	4.362000e+01	5.060000e-01	6.745981e-01	
-1.504000e+00	-1.481000e+00	-1.063000e+00	4.389000e+01	4.410000e-01	7.067819e-01	
-1.370000e+00	-1.439000e+00	-1.113000e+00	4.350000e+01	2.570000e-01	8.124088e-01	
-1.141000e+00	-1.348000e+00	-1.153000e+00	4.327000e+01	-1.200000e-02	1.010517e+00	
-8.571000e-01	-1.307000e+00	-1.178000e+00	4.327000e+01	-3.209000e-01	1.374402e+00	
-5.144000e-01	-1.311000e+00	-1.209000e+00	4.295000e+01	-6.946000e-01	2.350311e+00	
-1.340000e-01	-1.330000e+00	-1.209000e+00	4.266000e+01	-1.075000e+00	9.022388e+00	
2.160000e-01	-1.391000e+00	-1.208000e+00	4.296000e+01	-1.424000e+00	-5.592593e+00	
5.300000e-01	-1.372000e+00	-1.241000e+00	4.294000e+01	-1.771000e+00	-2.341509e+00	
8.421000e-01	-1.329000e+00	-1.272000e+00	4.274000e+01	-2.114100e+00	-1.510509e+00	
1.145000e+00	-1.317000e+00	-1.273000e+00	4.254000e+01	-2.418000e+00	-1.111790e+00	
1.405000e+00	-1.280000e+00	-1.297000e+00	4.264000e+01	-2.702000e+00	-9.231317e-01	
1.623000e+00	-1.228000e+00	-1.292000e+00	4.246000e+01	-2.915000e+00	-7.960567e-01	
1.809000e+00	-1.178000e+00	-1.279000e+00	4.227000e+01	-3.088000e+00	-7.070205e-01	
1.932000e+00	-1.106000e+00	-1.128000e+00	4.238000e+01	-3.060000e+00	-5.838509e-01	
1.998000e+00	-1.071000e+00	-8.355000e-01	4.245000e+01	-2.833500e+00	-4.181682e-01	
2.033000e+00	-1.016000e+00	-4.778000e-01	4.244000e+01	-2.510800e+00	-2.350221e-01	
2.036000e+00	-8.814000e-01	2.844000e-02	4.229000e+01	-2.007560e+00	1.396857e-02	
1.986000e+00	-7.362000e-01	5.450000e-01	4.218000e+01	-1.441000e+00	2.744209e-01	
1.851000e+00	-6.147000e-01	1.140000e+00	4.251000e+01	-7.110000e-01	6.158833e-01	
1.657000e+00	-4.705000e-01	1.590000e+00	4.266000e+01	-6.700000e-02	9.595655e-01	
1.478000e+00	-2.653000e-01	1.975000e+00	4.250000e+01	4.970000e-01	1.336265e+00	
1.350000e+00	-8.328000e-02	2.200000e+00	4.212000e+01	8.500000e-01	1.629630e+00	
1.240000e+00	5.209000e-02	2.387000e+00	4.205000e+01	1.147000e+00	1.925000e+00	
1.119000e+00	1.315000e-01	2.442000e+00	4.226000e+01	1.323000e+00	2.182306e+00	
1.056000e+00	2.061000e-01	2.423000e+00	4.185000e+01	1.367000e+00	2.294508e+00
